ok,3,0,0,0
ok,2,1,0,0
ok,1,2,0,0
ok,0,2,1,0
ok,0,2,1,0
ok,0,1,2,0
ok,0,0,2,1
ok,0,0,1,2
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,0,0,0,3
ok,7,0,0,0
ok,4,3,0,0
ok,2,4,1,0
ok,0,5,2,0
ok,0,4,3,0
ok,0,2,5,0
ok,0,1,4,2
ok,0,0,3,4
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,0,0,0,7
ok,8,0,0,0
ok,5,3,0,0
ok,2,5,1,0
ok,1,5,2,0
ok,0,4,4,0
ok,0,2,5,1
ok,0,1,5,2
ok,0,0,3,5
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,0,0,0,8
ok,16,0,0,0
ok,9,7,0,0
ok,4,10,2,0
ok,1,11,4,0
ok,0,8,8,0
ok,0,5,10,1
ok,0,2,10,4
ok,0,1,6,9
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,0,0,0,16
ok,63,0,0,0
ok,35,26,2,0
ok,16,39,8,0
ok,4,41,18,0
ok,0,32,31,0
ok,0,18,41,4
ok,0,8,39,16
ok,0,2,26,35
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,0,0,0,63
ok,1000,0,0,0
ok,563,406,31,0
ok,250,625,125,0
ok,63,656,281,0
ok,0,500,500,0
ok,0,281,656,63
ok,0,125,625,250
ok,0,31,406,563
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,0,0,0,1000
ok,1,0,0,0,0
ok,0,1,0,0,0
ok,0,1,0,0,0
ok,0,1,0,0,0
ok,0,0,1,0,0
ok,0,0,0,1,0
ok,0,0,0,1,0
ok,0,0,0,1,0
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,2,0,0,0,0
ok,1,1,0,0,0
ok,0,1,1,0,0
ok,0,1,1,0,0
ok,0,1,1,0,0
ok,0,0,1,1,0
ok,0,0,1,1,0
ok,0,0,0,1,1
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,3,0,0,0,0
ok,1,2,0,0,0
ok,0,2,1,0,0
ok,0,2,1,0,0
ok,0,1,1,1,0
ok,0,0,1,2,0
ok,0,0,1,2,0
ok,0,0,0,2,1
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,7,0,0,0,0
ok,3,3,1,0,0
ok,1,4,2,0,0
ok,0,3,3,1,0
ok,0,2,3,2,0
ok,0,1,3,3,0
ok,0,0,2,4,1
ok,0,0,1,3,3
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,0,0,0,0,7
ok,8,0,0,0,0
ok,3,4,1,0,0
ok,1,5,2,0,0
ok,0,4,3,1,0
ok,0,2,4,2,0
ok,0,1,3,4,0
ok,0,0,2,5,1
ok,0,0,1,4,3
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,0,0,0,0,8
ok,16,0,0,0,0
ok,7,8,1,0,0
ok,2,10,4,0,0
ok,0,7,7,2,0
ok,0,4,8,4,0
ok,0,2,7,7,0
ok,0,1,4,9,2
ok,0,0,1,8,7
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,0,0,0,0,16
ok,63,0,0,0,0
ok,27,31,5,0,0
ok,8,37,16,2,0
ok,1,29,26,7,0
ok,0,16,31,16,0
ok,0,7,26,29,1
ok,0,2,16,37,8
ok,0,0,5,31,27
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,0,0,0,0,63
ok,1000,0,0,0,0
ok,422,496,78,4,0
ok,125,594,250,31,0
ok,16,457,422,105,0
ok,0,250,500,250,0
ok,0,105,422,457,16
ok,0,31,250,594,125
ok,0,4,78,496,422
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,0,0,0,0,1000
ok,1,0,0,0,0
ok,1,0,0,0,0
ok,1,0,0,0,0
ok,0,1,0,0,0
ok,0,1,0,0,0
ok,0,1,0,0,0
ok,0,1,0,0,0
ok,0,0,1,0,0
ok,0,0,1,0,0
ok,0,0,1,0,0
ok,0,0,1,0,0
ok,0,0,0,1,0
ok,0,0,0,1,0
ok,0,0,0,1,0
ok,0,0,0,1,0
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,0,0,0,0,1
ok,2,0,0,0,0
ok,2,0,0,0,0
ok,1,1,0,0,0
ok,1,1,0,0,0
ok,0,2,0,0,0
ok,0,2,0,0,0
ok,0,1,1,0,0
ok,0,1,1,0,0
ok,0,0,2,0,0
ok,0,0,2,0,0
ok,0,0,1,1,0
ok,0,0,1,1,0
ok,0,0,0,2,0
ok,0,0,0,2,0
ok,0,0,0,1,1
ok,0,0,0,1,1
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,0,0,0,0,2
ok,3,0,0,0,0
ok,2,1,0,0,0
ok,2,1,0,0,0
ok,1,2,0,0,0
ok,0,3,0,0,0
ok,0,2,1,0,0
ok,0,2,1,0,0
ok,0,1,2,0,0
ok,0,0,3,0,0
ok,0,0,2,1,0
ok,0,0,2,1,0
ok,0,0,1,2,0
ok,0,0,0,3,0
ok,0,0,0,2,1
ok,0,0,0,2,1
ok,0,0,0,1,2
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,0,0,0,0,3
ok,7,0,0,0,0
ok,5,2,0,0,0
ok,4,3,0,0,0
ok,2,5,0,0,0
ok,0,7,0,0,0
ok,0,5,2,0,0
ok,0,4,3,0,0
ok,0,2,5,0,0
ok,0,0,7,0,0
ok,0,0,5,2,0
ok,0,0,4,3,0
ok,0,0,2,5,0
ok,0,0,0,7,0
ok,0,0,0,5,2
ok,0,0,0,4,3
